#{"t_start": 1780253741.6994593, "env_id": "None"}
r,l,t
-2.1163254,101,26.970741
-71.45138,111,27.036201
43.72434,113,27.066517
-37.95288,118,27.089788
3.9874573,175,27.092776
-47.06051,104,27.107015
-15.721664,102,27.121097
-13.41153,117,27.130955
-44.036728,130,27.151358
4.7307053,144,27.153967
-84.5059,81,27.155946
-124.78979,119,27.156008
-47.914516,132,27.170753
-65.44917,87,27.170846
-108.18135,122,27.21352
-59.880978,129,27.219725
-35.15468,64,27.232991
-4.3065987,67,27.251944
-24.084702,93,27.257835
1.6423416,162,27.27154
-31.071426,113,27.274543
-122.267685,66,27.281822
-48.543835,70,27.287176
-33.20762,118,27.356971
-103.00986,108,27.361085
-69.9563,130,27.395692
2.068016,162,27.405067
-41.6803,102,27.40516
-35.690434,165,27.409603
-49.431976,102,27.411618
27.905182,141,27.437194
-9.490089,81,27.440678
-14.038128,116,27.454061
-61.504864,150,27.459059
-11.120876,96,27.469074
11.976223,108,27.488757
-28.74422,129,27.504587
-62.693027,120,27.508343
-36.08439,77,27.515237
-36.55657,95,27.548643
2.3132706,167,27.585415
-42.262318,80,27.601852
-3.2133636,81,27.618613
24.11391,78,27.63299
-11.501846,87,27.63552
-50.09001,120,27.648539
0.32411575,121,27.652316
-20.406166,133,27.670581
-2.902813,119,27.676406
-18.6497,141,27.676487
-17.093765,142,27.687033
-278.1305,130,27.706623
-31.147852,125,27.742573
-29.078405,59,27.763662
-14.113491,98,27.768514
48.265526,88,27.786723
27.481647,150,27.790632
31.92369,144,27.790702
-49.66729,134,27.801201
-43.984184,95,27.816416
-20.400764,98,27.820331
-17.873459,108,27.84894
-69.85604,95,27.851308
-6.204113,139,27.862092
-95.14329,99,27.87316
-101.08801,57,27.875208
-31.196213,115,27.889357
-7.4096756,64,33.640887
-66.738106,127,33.652164
0.5339241,128,33.690436
-40.10005,76,33.703544
-17.96106,96,33.726439
31.012508,129,33.733943
1.6968155,133,33.759435
-19.26297,86,33.759513
58.652676,121,33.761426
49.912277,122,33.763176
66.632965,111,33.775244
-17.68137,102,33.812412
-68.76215,107,33.838462
-32.35926,135,33.86008
-9.392334,86,33.862484
-34.300606,120,33.885961
-26.747965,76,33.886049
19.696167,144,33.888282
-60.801414,91,33.907616
26.77095,145,33.948873
-0.85572815,126,33.959254
-32.891212,102,33.969645
17.032936,178,33.972345
-24.579662,123,34.003971
-66.382385,130,34.017325
18.473675,127,34.030668
11.684246,114,34.044032
38.62828,107,34.054986
-9.269043,76,34.061567
-15.604618,131,34.134877
-17.153484,122,34.142036
-59.023033,190,34.158481
40.73278,139,34.179181
-17.84579,164,34.201397
3.032116,86,34.2274
-80.51663,136,34.245932
-38.326153,115,34.256663
19.181873,109,34.259548
9.225037,95,34.269575
-15.066856,111,34.273531
-1.4327087,147,34.282415
-39.48326,160,34.284614
38.736565,152,34.290944
-66.65538,211,34.324695
0.29214478,130,34.330528
-102.25652,94,34.333916
8.798,101,34.362528
-67.72954,124,34.444101
24.856613,102,34.464541
-47.358532,115,34.464631
-24.770649,107,34.495743
0.24416351,96,34.510003
27.701256,132,34.512804
-62.24046,136,34.54621
-14.616085,185,34.546325
-2.3062325,147,34.554516
7.880394,165,34.557347
-49.380882,155,34.564699
82.34927,151,34.58342
3.4490356,244,34.630941
12.7124405,155,34.650202
39.90647,144,34.659103
-23.411968,93,34.666949
-19.744114,109,34.682463
-10.6114235,177,34.694596
-15.954952,106,34.697363
4.7109222,116,34.755793
68.75071,106,34.781431
-60.508602,120,34.806237
42.417667,92,34.817316
13.01696,85,34.827575
-73.45769,123,34.835579
23.641602,140,34.838562
52.72892,177,34.876822
44.541565,95,34.883631
-3.331318,123,34.900554
5.240959,195,34.9037
-15.4967575,110,34.90644
-11.868546,177,34.920705
60.330658,174,34.92359
48.75808,93,34.95338
-13.86367,133,34.968355
-20.530254,98,34.990339
-25.778912,90,34.998093
-206.89438,82,35.056081
-1.7421913,105,35.05617
57.804817,194,35.063271
20.565308,144,35.106625
-26.017784,146,35.127301
75.80612,123,35.157873
-10.205898,103,35.160774
22.227283,94,35.186746
35.748283,136,35.196927
7.951294,145,35.199681
52.149887,171,35.229608
-39.457718,163,35.251737
-39.495155,204,35.260162
30.960732,181,35.270295
-0.10748291,78,35.27381
40.14987,157,35.280628
-6.714493,114,35.284201
-40.585564,149,35.287962
-100.697296,69,35.319246
-4.088787,149,35.359273
-24.896297,175,35.398334
-19.216904,140,35.401658
-37.739967,75,35.413094
-7.3963623,112,35.413187
-69.39733,89,35.43971
-0.31388092,146,35.442312
-37.920616,126,35.442373
40.873238,169,35.490658
-9.625935,118,35.51049
-9.488804,121,35.520441
3.898571,139,35.520521
-15.997932,150,35.523253
-9.83028,142,35.534475
24.510952,120,35.558905
-55.48616,86,35.576979
16.782299,153,35.59018
1.1450806,125,35.607254
-22.901043,99,35.639138
0.61577606,103,35.651939
-33.184135,77,35.678659
-30.940617,140,35.683632
5.0690346,103,35.700699
-9.1046715,149,41.926341
-29.023685,94,41.931926
-69.144356,128,41.952755
-103.048416,87,41.966041
36.500893,125,41.971101
-13.500427,101,41.977174
-58.27781,194,41.991148
51.56848,155,42.01408
-37.034676,128,42.016436
-16.408382,201,42.096343
-7.3818817,119,42.147045
1.7607269,113,42.15418
3.0569687,194,42.192401
39.5382,131,42.220069
-20.307632,190,42.228577
-27.633339,162,42.233042
41.759453,156,42.280229
